N,P,K,temperature,humidity,ph,rainfall,label
39,61,49,34.26,91.95,7.48,133.4,Papaya
103,42,38,23.3,76.62,6.13,214.9,Rice
109,26,51,27.2,89.15,6.42,51.46,Watermelon
28,15,12,27.3,87.87,6.66,123.71,Orange
24,73,75,15.34,18.53,7.85,78.63,Chickpea
94,20,53,28.29,96.81,6.54,29.57,Muskmelon
26,136,205,22.05,89.07,5.82,91.25,Apple
20,137,183,22.97,93.98,6.22,110.26,Apple
80,50,47,23.82,86.01,6.64,223.87,Rice
22,68,21,19.23,56.44,5.67,106.55,Kidney Beans
118,54,20,26.01,78.41,6.39,78.52,Cotton
31,66,74,19.64,21.02,6.55,81.15,Chickpea
83,45,39,22.58,86.37,7.05,192.35,Jute
32,81,20,23.53,66.71,5.48,112.72,Kidney Beans
97,38,30,22.0,83.59,7.15,165.77,Jute
84,43,40,24.37,80.52,5.75,142.07,Jute
26,140,202,22.92,93.3,5.47,122.64,Apple
62,58,38,34.86,87.67,6.83,168.23,Papaya
20,71,24,22.74,61.42,5.4,107.3,Kidney Beans
99,11,48,25.48,83.01,6.52,53.53,Watermelon
77,46,47,24.42,84.29,7.27,200.82,Jute
20,72,18,32.27,49.74,6.48,115.05,Pigeonpeas
92,33,39,22.4,52.73,6.76,175.31,Coffee
94,15,47,24.81,79.88,6.16,43.37,Watermelon
70,42,33,27.67,86.19,6.83,196.98,Jute
95,22,34,22.24,59.82,6.72,173.61,Coffee
17,56,21,21.59,47.63,4.97,148.28,Pigeonpeas
130,54,24,23.3,82.38,7.05,74.31,Cotton
63,71,55,33.24,82.28,6.79,159.96,Papaya
115,16,46,29.57,94.12,6.63,34.45,Muskmelon
30,14,21,29.21,88.18,5.94,248.59,Coconut
22,64,18,15.49,64.49,6.08,129.77,Kidney Beans
120,52,15,25.96,74.72,7.13,68.45,Cotton
87,12,50,25.35,98.32,5.78,21.0,Muskmelon
42,73,88,18.34,15.16,6.87,71.75,Chickpea
19,18,30,22.56,91.5,5.67,198.09,Coconut
104,30,30,20.23,65.73,6.84,183.57,Coffee
101,29,29,26.49,63.63,7.48,157.96,Coffee
19,18,30,23.17,90.59,6.1,163.79,Coconut
22,16,34,25.79,94.4,6.42,213.86,Coconut
21,20,14,21.83,96.44,6.54,125.94,Orange
21,19,10,21.87,100.0,7.16,114.96,Orange
23,126,202,22.37,93.17,5.69,95.79,Apple
22,145,193,19.97,86.72,5.87,108.96,Apple
101,20,52,24.49,80.51,7.25,46.13,Watermelon
79,39,38,24.4,78.57,6.48,155.25,Jute
92,47,38,22.78,80.27,6.66,229.48,Rice
99,33,30,24.57,62.29,6.62,168.14,Coffee
45,49,44,36.98,92.76,6.66,149.82,Papaya
133,49,19,23.01,72.77,7.07,86.94,Cotton
11,15,9,25.0,92.57,7.44,97.57,Orange
100,35,37,24.01,82.19,6.32,255.57,Rice
99,39,11,25.32,61.99,5.99,95.63,Maize
84,54,46,23.63,83.28,6.32,187.53,Jute
25,125,202,18.56,95.14,6.01,108.75,Apple
104,25,23,25.21,60.41,6.99,173.4,Coffee
13,61,24,34.5,54.38,5.3,191.92,Pigeonpeas
97,22,52,25.9,86.0,6.55,37.87,Watermelon
38,73,72,18.95,16.48,7.39,76.3,Chickpea
35,73,21,23.61,60.72,5.71,114.73,Kidney Beans
27,18,28,26.51,94.49,6.18,210.24,Coconut
72,44,47,26.55,79.37,6.82,164.19,Jute
125,29,33,23.7,63.48,6.73,166.79,Coffee
114,20,48,30.65,91.9,6.47,24.79,Muskmelon
27,65,18,18.27,64.17,5.97,96.81,Kidney Beans
25,19,9,25.88,93.94,6.53,94.07,Orange
47,57,54,29.32,88.77,6.8,172.46,Papaya
128,45,23,22.54,87.26,6.81,72.84,Cotton
80,48,17,22.01,56.58,7.37,66.34,Maize
103,36,38,24.33,87.77,5.93,269.08,Rice
127,47,22,23.69,79.76,7.08,117.35,Cotton
76,54,39,22.93,77.95,5.84,260.58,Rice
95,15,50,27.55,93.95,6.26,33.59,Muskmelon
74,52,47,23.37,74.18,6.82,165.15,Jute
46,55,53,37.93,95.51,6.32,185.78,Papaya
44,75,52,31.49,96.96,7.32,159.34,Papaya
91,15,56,26.37,92.54,6.47,31.49,Muskmelon
18,72,26,30.85,54.71,5.73,142.87,Pigeonpeas
37,54,71,21.47,16.53,7.08,81.6,Chickpea
83,46,40,21.14,83.43,6.72,267.08,Rice
42,58,44,32.84,95.05,6.73,212.14,Papaya
101,16,54,25.88,81.51,6.22,38.18,Watermelon
80,51,52,22.12,79.1,5.75,178.47,Jute
64,42,24,21.05,63.65,6.78,70.47,Maize
84,52,40,22.16,83.37,7.0,140.05,Jute
15,59,21,28.51,51.32,5.86,181.77,Pigeonpeas
75,48,41,26.87,83.11,6.71,158.85,Jute
43,64,45,33.35,96.63,7.0,178.05,Papaya
22,14,30,26.9,95.48,6.2,157.14,Coconut
21,76,18,33.46,45.82,6.45,142.55,Pigeonpeas
92,27,28,22.03,57.91,6.46,166.75,Coffee
133,47,23,28.27,86.56,6.36,76.96,Cotton
101,42,20,28.24,64.52,6.73,69.06,Maize
106,27,29,24.97,62.75,6.83,183.72,Coffee
24,21,15,20.63,94.08,6.69,124.29,Orange
17,143,191,21.32,96.4,5.58,96.61,Apple
76,41,41,19.65,73.0,6.63,176.48,Jute
17,14,34,25.77,90.96,5.82,179.3,Coconut
94,46,36,25.75,79.7,6.55,300.0,Rice
106,24,50,29.26,89.96,6.49,31.65,Muskmelon
22,78,22,24.33,63.18,6.46,213.04,Pigeonpeas
82,44,39,20.02,79.11,7.09,163.63,Jute
84,38,42,24.21,76.95,6.4,167.91,Jute
22,11,30,29.42,93.2,6.12,198.74,Coconut
47,64,45,34.43,92.94,6.25,172.17,Papaya
24,22,11,15.94,92.05,7.29,116.33,Orange
80,52,45,22.85,77.3,7.08,126.17,Jute
110,19,54,26.02,89.23,6.62,50.11,Watermelon
81,46,36,26.62,82.12,7.04,172.78,Jute
94,27,27,26.07,67.17,6.68,193.16,Coffee
124,48,18,24.63,72.0,7.71,65.19,Cotton
30,69,23,22.31,54.48,5.6,108.3,Kidney Beans
46,71,75,22.55,13.42,7.67,90.01,Chickpea
76,35,40,24.65,78.38,6.76,198.46,Rice
27,50,17,20.29,58.5,5.34,125.83,Kidney Beans
29,65,21,19.71,59.02,5.64,108.8,Kidney Beans
79,63,17,28.92,75.07,6.22,93.53,Maize
23,16,26,24.88,92.85,6.34,165.46,Coconut
111,17,40,26.86,90.1,6.78,44.7,Watermelon
46,57,63,33.26,94.21,6.7,123.03,Papaya
51,43,46,32.56,86.38,6.35,120.38,Papaya
23,66,19,31.45,50.73,5.18,146.79,Pigeonpeas
95,51,31,21.04,73.84,6.39,257.94,Rice
73,51,52,23.28,82.14,6.41,193.74,Jute
24,26,8,22.7,91.18,6.02,106.28,Orange
99,17,46,29.88,92.23,6.35,21.26,Muskmelon
42,68,89,18.9,11.68,7.8,70.94,Chickpea
107,51,32,22.79,87.07,6.22,251.1,Rice
113,31,22,22.56,69.91,5.67,89.77,Cotton
89,22,47,25.7,79.65,6.5,47.37,Watermelon
20,24,8,21.22,93.43,6.57,111.83,Orange
21,15,27,30.74,92.45,6.73,189.62,Coconut
106,18,47,27.99,87.11,6.27,50.39,Watermelon
96,29,26,22.74,63.55,6.42,166.71,Coffee
77,46,21,24.48,65.02,6.72,102.86,Maize
69,47,38,22.31,78.88,6.9,184.5,Jute
36,60,15,16.3,63.56,5.14,114.42,Kidney Beans
88,49,19,28.19,80.1,6.32,79.4,Cotton
102,24,35,25.42,62.99,6.8,164.64,Coffee
102,19,56,24.67,81.58,6.14,51.46,Watermelon
107,24,26,25.14,67.14,6.95,179.97,Coffee
11,61,18,24.47,58.07,5.81,122.12,Kidney Beans
46,64,49,33.41,93.23,6.52,189.86,Papaya
90,32,28,25.06,65.49,6.43,161.31,Coffee
125,50,19,27.01,74.36,7.25,81.85,Cotton
90,45,45,22.71,82.38,6.32,229.14,Rice
31,59,22,20.51,59.68,5.73,123.78,Kidney Beans
108,20,54,24.55,91.52,6.32,23.6,Muskmelon
21,21,28,28.95,91.6,5.67,195.12,Coconut
123,48,15,27.71,76.95,7.0,61.24,Cotton
101,13,50,28.33,92.39,6.34,30.69,Muskmelon
101,55,37,21.53,81.5,6.52,267.35,Rice
90,38,46,29.46,74.72,7.01,175.02,Jute
19,24,16,22.56,93.04,6.4,108.23,Orange
98,18,52,26.82,92.58,6.36,24.53,Muskmelon
121,24,33,24.18,65.92,6.36,149.74,Coffee
26,73,17,22.41,53.04,5.71,159.92,Pigeonpeas
88,46,30,23.45,83.43,7.09,227.04,Rice
24,53,19,20.29,58.72,5.63,119.07,Kidney Beans
36,71,86,20.51,20.57,7.58,83.51,Chickpea
16,13,41,25.28,94.03,5.89,170.73,Coconut
129,41,22,26.24,70.44,6.84,74.38,Cotton
104,19,54,23.9,83.64,6.43,53.65,Watermelon
99,21,47,27.15,88.06,6.47,26.63,Muskmelon
120,48,21,25.17,83.99,7.17,67.39,Cotton
85,44,50,23.37,88.42,6.71,150.24,Jute
85,49,21,31.21,64.65,6.6,100.76,Maize
81,46,45,26.93,81.98,6.56,188.35,Jute
16,131,203,21.07,91.08,6.34,116.28,Apple
40,83,80,17.58,12.46,6.58,64.16,Chickpea
47,64,73,20.39,15.82,7.72,86.17,Chickpea
89,23,53,24.75,94.29,6.68,25.62,Muskmelon
21,24,26,24.89,94.8,5.98,196.94,Coconut
17,63,23,23.28,52.51,5.81,152.23,Pigeonpeas
20,10,29,22.27,96.06,5.71,183.59,Coconut
121,19,33,23.89,59.07,6.61,156.82,Coffee
101,20,51,28.38,86.38,6.48,58.34,Watermelon
102,32,21,23.92,60.73,6.88,198.87,Coffee
22,20,13,18.74,97.26,5.8,100.77,Orange
102,22,57,27.4,92.8,6.9,20.0,Muskmelon
21,73,19,29.43,58.3,5.98,133.49,Pigeonpeas
92,41,49,25.18,77.23,6.76,215.63,Rice
37,80,70,20.63,16.16,7.19,87.9,Chickpea
21,143,205,22.58,95.95,5.84,112.76,Apple
34,60,83,18.9,17.1,7.0,77.7,Chickpea
11,61,22,24.0,57.68,5.58,137.31,Kidney Beans
27,82,17,20.1,62.08,5.68,105.27,Kidney Beans
99,55,22,23.32,59.24,6.31,101.33,Maize
81,51,40,29.12,74.25,6.49,172.72,Jute
26,142,205,21.05,90.4,6.19,123.58,Apple
32,20,29,27.69,98.73,5.77,165.66,Coconut
103,18,50,26.57,90.37,6.53,20.0,Muskmelon
99,43,34,30.43,82.24,6.51,239.4,Rice
21,18,40,28.37,99.61,6.18,164.35,Coconut
21,15,27,27.0,91.82,5.85,168.65,Coconut
58,56,39,40.13,89.01,6.38,182.07,Papaya
108,49,18,22.97,73.3,6.97,71.82,Cotton
101,22,44,28.54,78.76,7.14,46.71,Watermelon
32,23,37,27.05,95.96,6.3,214.33,Coconut
85,48,15,26.99,62.04,5.72,78.58,Maize
49,64,59,37.09,87.77,6.83,177.01,Papaya
91,19,45,24.29,83.91,6.18,46.2,Watermelon
101,18,49,27.78,91.65,6.66,28.04,Muskmelon
95,26,27,27.24,62.07,6.75,172.8,Coffee
23,70,17,29.11,49.05,5.55,153.79,Pigeonpeas
123,52,24,25.89,77.49,6.62,82.86,Cotton
30,21,11,20.05,93.71,6.51,125.2,Orange
24,137,201,22.0,88.73,6.33,118.54,Apple
28,63,19,34.97,50.01,5.58,147.06,Pigeonpeas
17,58,20,27.69,58.29,6.18,148.81,Pigeonpeas
47,62,53,37.63,91.93,7.19,178.16,Papaya
48,62,45,36.11,91.77,6.62,152.77,Papaya
97,34,30,26.32,70.83,7.11,176.86,Coffee
20,59,18,24.79,62.44,5.64,171.37,Pigeonpeas
98,49,18,23.89,83.48,7.27,76.73,Cotton
101,23,53,30.23,83.6,6.31,31.54,Muskmelon
98,22,45,24.45,80.97,6.53,41.3,Watermelon
41,52,47,32.53,90.39,6.84,161.58,Papaya
110,26,37,25.42,61.2,7.55,153.89,Coffee
102,46,45,20.29,83.07,6.86,242.06,Rice
102,28,29,25.74,67.2,6.21,167.62,Coffee
40,68,46,30.74,92.09,6.51,189.67,Papaya
109,37,31,23.32,49.82,7.01,158.7,Coffee
84,45,41,27.88,78.01,6.89,234.65,Rice
125,35,20,25.32,78.61,7.32,85.06,Cotton
102,13,55,27.78,91.66,6.67,26.67,Muskmelon
112,43,20,25.96,87.48,6.6,74.03,Cotton
31,74,18,17.7,58.99,5.46,119.05,Kidney Beans
37,66,67,17.39,19.89,7.95,67.66,Chickpea
132,54,23,24.08,74.6,6.55,82.35,Cotton
77,38,36,25.78,82.33,6.69,195.82,Jute
98,25,33,24.34,59.41,7.06,175.59,Coffee
77,58,41,24.45,76.66,7.14,190.61,Jute
83,58,35,20.96,86.63,6.82,255.6,Rice
24,139,202,21.29,90.68,5.67,126.85,Apple
20,16,23,26.14,97.89,6.39,201.13,Coconut
95,46,36,22.71,84.36,6.47,175.79,Jute
96,26,34,23.58,65.22,6.69,135.48,Coffee
27,23,12,24.92,97.09,6.93,117.75,Orange
98,16,56,28.19,97.18,6.52,26.21,Muskmelon
85,43,37,28.63,81.95,6.08,260.56,Rice
14,16,30,29.27,96.2,6.09,155.2,Coconut
100,15,48,23.18,85.31,6.82,41.22,Watermelon
29,64,81,19.32,13.92,7.81,71.34,Chickpea
19,23,6,24.61,86.99,6.46,95.45,Orange
103,16,47,24.03,72.07,6.95,42.0,Watermelon
29,78,23,19.18,61.81,5.31,128.59,Kidney Beans
20,20,30,25.29,98.87,6.02,225.07,Coconut
20,20,30,28.59,99.05,6.32,190.35,Coconut
95,36,36,24.33,53.03,6.63,163.0,Coffee
105,25,57,26.06,86.17,7.11,36.34,Muskmelon
44,74,84,19.04,19.02,7.54,76.46,Chickpea
22,20,14,26.57,90.38,6.76,118.05,Orange
43,84,69,19.38,15.01,7.47,80.19,Chickpea
80,47,24,25.96,55.54,7.24,105.7,Maize
38,50,49,40.76,91.39,6.65,131.16,Papaya
15,18,8,20.04,94.22,7.01,124.51,Orange
18,67,27,23.02,43.89,6.11,136.43,Pigeonpeas
92,54,44,23.6,81.92,6.1,239.54,Rice
17,17,13,21.17,94.39,6.8,107.87,Orange
101,25,35,29.65,61.91,6.95,176.69,Coffee
99,24,34,25.37,59.9,6.23,203.89,Coffee
46,63,60,38.92,86.23,6.87,156.44,Papaya
56,60,39,42.98,97.24,6.92,144.94,Papaya
32,45,24,21.85,53.96,5.38,145.15,Kidney Beans
30,17,36,25.1,92.28,5.29,216.8,Coconut
117,53,18,23.5,78.89,6.33,101.85,Cotton
20,65,17,22.43,51.07,5.59,124.52,Kidney Beans
17,62,17,35.44,62.99,6.57,125.54,Pigeonpeas
41,73,96,15.87,21.85,7.34,71.01,Chickpea
94,39,48,22.04,80.71,6.83,209.23,Rice
99,47,19,24.2,79.43,6.91,78.2,Cotton
87,42,37,28.41,83.62,6.0,262.95,Rice
89,50,52,23.94,83.83,6.66,197.2,Jute
101,22,17,25.59,62.7,6.71,172.88,Coffee
90,22,44,22.36,92.47,6.08,51.47,Watermelon
22,61,23,18.24,61.1,6.07,112.3,Kidney Beans
65,45,33,26.8,83.14,6.34,161.21,Jute
20,70,20,25.15,59.94,5.89,150.35,Pigeonpeas
99,26,26,23.04,60.64,7.17,158.9,Coffee
20,19,26,26.88,90.46,6.19,218.83,Coconut
47,54,55,36.78,92.51,6.9,159.25,Papaya
39,71,82,20.42,15.69,7.51,77.4,Chickpea
48,61,56,30.42,88.96,6.12,149.02,Papaya
94,28,28,27.04,60.11,7.42,183.62,Coffee
22,56,23,28.88,63.31,5.98,172.03,Pigeonpeas
95,53,19,22.95,63.07,7.54,90.73,Maize
21,14,39,30.36,92.35,6.04,165.03,Coconut
80,49,29,25.89,77.45,7.36,186.22,Jute
126,34,26,25.59,76.12,6.86,82.11,Cotton
107,51,14,20.9,83.7,7.0,79.31,Cotton
16,70,14,29.94,51.71,6.57,134.51,Pigeonpeas
91,17,53,29.02,92.79,6.68,23.19,Muskmelon
96,50,35,27.51,76.39,6.73,294.76,Rice
91,53,22,27.2,72.02,7.19,94.73,Maize
17,17,13,19.51,90.93,7.18,106.4,Orange
84,18,44,28.34,88.57,6.04,33.02,Muskmelon
91,47,35,26.92,82.65,6.29,181.87,Jute
18,25,40,27.51,94.97,6.31,204.09,Coconut
92,13,52,26.74,87.29,6.69,31.98,Muskmelon
95,55,19,28.47,65.89,6.33,75.8,Maize
46,61,52,31.04,94.17,6.73,125.69,Papaya
13,22,21,28.8,93.9,6.21,150.69,Coconut
99,16,57,30.34,92.32,6.02,20.0,Muskmelon
26,124,203,21.08,95.14,6.23,109.05,Apple
114,52,20,21.91,80.82,7.68,85.92,Cotton
86,48,22,21.24,66.02,5.79,83.33,Maize
44,65,85,17.91,16.51,7.32,69.98,Chickpea
20,61,18,23.5,60.87,4.96,173.07,Pigeonpeas
90,11,55,23.41,84.29,6.73,45.08,Watermelon
26,145,187,20.8,94.47,6.1,117.16,Apple
28,135,203,22.43,95.37,6.2,117.31,Apple
24,58,21,21.08,55.28,6.56,131.04,Pigeonpeas
20,17,27,29.46,96.38,6.08,197.79,Coconut
33,70,24,17.64,53.17,5.66,127.54,Kidney Beans
83,54,8,30.27,64.16,7.05,69.4,Maize
17,12,12,28.23,93.99,6.88,114.91,Orange
53,64,52,38.88,92.71,6.58,141.68,Papaya
90,60,39,24.75,81.86,6.03,268.57,Rice
19,9,31,25.45,92.6,5.85,218.39,Coconut
110,15,49,28.92,90.69,6.54,27.78,Muskmelon
20,69,18,32.1,47.94,6.0,173.64,Pigeonpeas
117,51,22,23.32,80.34,5.99,97.3,Cotton
28,145,204,22.21,89.04,6.16,140.88,Apple
22,16,33,25.69,93.17,5.84,209.77,Coconut
20,129,205,21.9,93.13,5.97,100.8,Apple
82,36,42,27.1,79.68,7.4,190.48,Jute
87,22,46,26.03,91.66,6.53,25.82,Muskmelon
32,63,87,20.91,18.54,7.59,85.16,Chickpea
100,40,35,28.29,63.96,7.15,160.52,Coffee
92,21,48,29.84,95.63,6.21,28.97,Muskmelon
80,38,25,21.8,60.14,6.6,102.23,Maize
81,48,39,25.79,83.89,6.47,218.83,Rice
110,18,48,28.09,85.48,6.27,59.24,Watermelon
23,68,19,20.77,57.35,5.25,124.82,Kidney Beans
103,9,50,24.64,88.38,6.34,31.38,Muskmelon
72,45,16,24.37,74.75,6.66,81.21,Maize
96,39,40,15.9,77.9,6.4,208.81,Rice
105,35,30,23.8,54.21,7.05,183.48,Coffee
30,14,36,27.71,89.57,6.19,177.41,Coconut
29,53,25,20.17,58.94,5.51,115.68,Kidney Beans
25,128,193,23.4,94.54,6.18,133.18,Apple
110,18,56,30.27,93.29,6.55,27.11,Muskmelon
116,53,14,26.32,75.98,6.92,77.03,Cotton
107,17,40,25.03,85.17,6.87,45.46,Watermelon
125,53,22,24.08,83.78,6.24,92.65,Cotton
99,24,53,26.61,83.4,6.33,61.25,Watermelon
18,19,13,21.66,89.35,6.22,115.76,Orange
50,66,57,35.24,89.11,6.12,124.86,Papaya
28,142,199,19.69,89.95,6.35,109.18,Apple
18,22,12,27.13,89.03,6.66,119.11,Orange
99,21,42,24.3,78.45,6.42,59.69,Watermelon
98,29,29,26.94,64.09,6.87,149.58,Coffee
91,55,23,20.57,74.8,5.93,89.54,Maize
78,48,43,22.84,83.99,7.15,154.66,Jute
44,61,55,36.39,87.73,7.27,147.18,Papaya
102,30,25,24.91,55.83,7.22,147.88,Coffee
19,141,205,24.12,96.24,6.07,126.62,Apple
88,44,40,24.97,82.73,6.94,171.04,Jute
80,38,37,23.19,83.24,6.75,151.86,Jute
76,41,15,27.48,62.19,6.67,84.3,Maize
93,22,52,25.36,91.4,6.97,57.46,Watermelon
25,75,20,28.8,61.45,5.89,168.08,Pigeonpeas
42,68,55,36.93,92.03,6.28,179.56,Papaya
24,20,12,21.87,90.03,7.31,104.03,Orange
102,18,51,23.86,82.89,6.5,48.44,Watermelon
76,37,44,24.43,81.26,6.51,248.69,Rice
25,74,20,28.85,53.23,6.34,145.99,Pigeonpeas
88,19,44,24.41,80.24,6.36,49.78,Watermelon
46,59,54,37.83,93.71,6.73,189.96,Papaya
94,54,45,29.38,78.93,6.85,244.58,Rice
92,51,19,26.32,47.91,7.07,58.9,Maize
29,65,16,20.87,68.52,6.07,119.07,Kidney Beans
101,15,50,27.58,91.52,6.19,21.81,Muskmelon
80,50,27,24.72,80.61,6.78,58.59,Maize
95,20,58,29.99,91.76,6.6,27.89,Muskmelon
42,54,43,31.34,83.45,6.86,201.08,Papaya
92,12,46,25.65,85.41,6.42,31.15,Watermelon
83,43,42,26.44,80.08,6.43,212.34,Rice
18,12,29,26.75,95.31,5.91,193.93,Coconut
109,18,58,24.95,83.26,6.74,37.02,Watermelon
20,18,24,29.06,89.62,6.16,172.82,Coconut
19,51,19,21.4,59.52,5.58,105.81,Kidney Beans
50,63,82,17.52,13.04,7.06,79.63,Chickpea
29,128,203,18.87,93.22,6.59,103.06,Apple
79,41,38,25.17,83.64,6.63,153.23,Jute
112,12,50,24.62,83.76,6.62,55.36,Watermelon
81,50,34,21.93,86.32,6.46,195.45,Jute
91,16,41,30.01,95.81,6.3,23.51,Muskmelon
112,50,24,23.81,90.49,6.59,80.39,Cotton
42,72,83,19.78,13.02,7.72,91.7,Chickpea
78,18,48,25.87,90.34,6.23,24.76,Muskmelon
36,71,71,19.22,16.9,7.22,78.71,Chickpea
20,145,187,20.39,97.03,5.87,99.22,Apple
74,50,22,24.78,61.7,6.16,84.62,Maize
31,73,22,21.9,68.81,5.7,102.27,Kidney Beans
108,50,17,26.11,79.83,6.16,85.05,Cotton
100,24,35,29.02,94.15,6.74,24.68,Muskmelon
94,16,44,27.55,95.23,6.4,29.3,Muskmelon
18,71,24,24.12,52.81,5.74,122.08,Pigeonpeas
88,52,40,24.28,84.91,6.22,182.89,Jute
23,69,16,26.14,51.36,5.77,158.52,Pigeonpeas
110,15,55,29.62,89.86,6.53,47.35,Watermelon
67,75,50,22.49,95.71,6.54,143.97,Papaya
80,61,27,25.31,65.23,6.56,94.2,Maize
96,17,44,27.02,88.61,6.36,20.0,Muskmelon
34,72,21,21.92,61.97,5.12,115.82,Kidney Beans
75,43,38,25.54,82.86,6.68,175.29,Jute
109,17,48,26.53,91.83,6.38,26.03,Muskmelon
115,48,19,27.29,65.81,6.79,78.73,Cotton
29,145,178,22.87,87.72,6.15,116.54,Apple
39,52,23,20.57,63.86,5.83,109.0,Kidney Beans
25,145,186,20.4,90.34,5.89,123.88,Apple
78,43,22,21.3,65.17,6.5,101.29,Maize
51,57,59,38.23,94.36,6.6,199.71,Papaya
22,11,8,24.23,93.23,7.29,108.26,Orange
112,57,20,23.22,84.99,6.69,89.11,Cotton
89,48,17,26.09,67.36,6.95,94.53,Maize
94,22,40,27.51,58.1,6.88,183.35,Coffee
18,16,23,27.82,97.0,5.6,169.99,Coconut
98,52,18,30.47,61.37,6.87,89.49,Maize
78,37,50,24.88,77.0,6.87,196.01,Jute
36,63,91,14.73,26.41,7.72,82.23,Chickpea
35,63,78,16.31,14.54,7.11,88.74,Chickpea
96,16,54,28.14,84.65,6.71,41.38,Watermelon
26,87,21,18.49,59.52,5.17,118.79,Kidney Beans
94,45,17,25.41,61.69,6.82,88.04,Maize
22,11,11,20.34,90.13,6.36,118.79,Orange
74,54,20,24.81,74.17,6.75,93.07,Maize
96,45,25,23.16,59.17,6.87,165.6,Coffee
44,73,73,21.17,15.39,7.62,83.67,Chickpea
27,144,198,20.69,88.77,6.11,102.52,Apple
91,16,49,25.67,96.41,6.0,31.73,Muskmelon
113,19,43,28.73,92.73,6.22,27.87,Muskmelon
55,56,45,27.78,92.46,6.68,182.72,Papaya
28,137,190,21.21,90.89,5.47,103.23,Apple
29,70,17,20.39,59.8,5.66,125.01,Kidney Beans
89,19,52,27.03,89.26,6.27,45.74,Watermelon
82,48,35,28.25,87.97,6.86,203.63,Jute
79,45,14,25.54,61.8,5.92,41.92,Maize
114,53,20,25.79,75.21,6.56,74.5,Cotton
96,42,43,22.84,80.14,6.6,192.17,Rice
94,51,44,25.15,81.72,5.84,250.74,Rice
112,58,21,26.27,75.89,6.31,73.17,Cotton
104,22,56,27.75,93.93,6.29,20.38,Muskmelon
92,45,41,26.67,77.48,7.05,126.26,Jute
102,18,52,25.81,85.04,6.32,43.99,Watermelon
25,123,197,24.78,92.96,5.99,137.75,Apple
20,136,200,22.64,92.35,6.11,111.26,Apple
27,21,10,23.65,92.89,6.96,88.09,Orange
94,19,44,26.5,93.99,7.18,27.39,Muskmelon
31,49,20,16.46,63.8,5.67,126.29,Kidney Beans
48,50,58,40.3,91.88,7.35,161.83,Papaya
20,17,7,17.55,90.46,7.16,125.07,Orange
27,130,205,19.78,92.97,5.54,117.45,Apple
121,47,24,26.27,88.08,6.24,79.59,Cotton
82,13,47,25.99,84.42,6.46,53.26,Watermelon
26,15,7,24.49,93.91,6.96,85.83,Orange
100,14,53,25.92,82.99,6.83,40.0,Watermelon
39,65,75,20.49,16.46,7.04,93.21,Chickpea
122,46,19,26.53,74.8,7.58,58.15,Cotton
28,145,201,21.57,91.22,6.04,105.06,Apple
93,21,63,27.0,77.04,6.39,50.98,Watermelon
123,44,19,23.12,85.6,6.68,97.43,Cotton
28,145,192,25.18,92.85,6.0,110.23,Apple
24,14,11,22.85,93.88,6.71,106.31,Orange
18,17,25,28.39,93.87,5.61,189.72,Coconut
126,51,22,25.65,77.34,7.14,63.71,Cotton
111,41,21,23.31,80.51,6.61,58.63,Cotton
21,16,9,17.89,91.26,6.61,103.81,Orange
30,140,205,19.97,94.47,5.61,116.89,Apple
21,131,204,26.11,93.82,6.14,121.37,Apple
21,17,14,18.55,89.75,7.41,111.57,Orange
97,20,52,26.85,87.47,7.39,24.29,Muskmelon
26,17,8,25.87,95.55,6.33,95.55,Orange
25,141,197,17.6,95.81,6.06,110.44,Apple
26,145,205,21.13,87.77,6.08,97.09,Apple
95,15,47,25.27,89.64,6.98,28.68,Muskmelon
95,24,51,24.88,84.0,6.99,48.12,Watermelon
106,35,33,25.55,57.01,6.8,164.34,Coffee
111,45,21,25.7,75.51,6.6,92.89,Cotton
20,10,31,23.23,95.16,6.26,169.51,Coconut
17,55,19,31.51,63.36,6.08,158.59,Pigeonpeas
117,54,22,25.03,75.13,7.06,80.23,Cotton
17,69,22,22.34,56.8,6.17,141.7,Pigeonpeas
55,70,50,41.8,86.83,6.91,183.33,Papaya
18,11,11,26.82,92.83,6.46,110.53,Orange
61,66,32,30.99,94.83,6.75,139.52,Papaya
19,70,23,31.05,48.14,6.13,148.71,Pigeonpeas
24,27,21,28.56,92.27,5.99,174.55,Coconut
19,66,17,23.9,57.79,5.58,156.33,Pigeonpeas
45,56,54,34.77,88.03,6.57,177.55,Papaya
89,36,31,26.68,61.49,6.55,190.02,Coffee
93,21,49,25.23,81.75,6.27,52.56,Watermelon
30,144,189,21.07,94.47,6.01,102.12,Apple
23,69,15,25.19,54.56,5.77,189.45,Pigeonpeas
91,43,48,17.37,86.37,7.0,188.17,Rice
6,20,30,23.64,95.93,6.14,192.97,Coconut
25,64,13,26.56,60.48,6.02,158.56,Pigeonpeas
18,21,16,20.74,87.0,6.0,108.19,Orange
85,28,35,24.33,57.77,7.08,168.38,Coffee
90,57,38,25.22,78.33,6.7,202.59,Jute
114,20,38,28.43,89.36,6.39,55.74,Watermelon
80,42,42,24.57,76.24,7.23,191.72,Jute
26,18,31,25.33,89.85,6.07,199.91,Coconut
82,40,22,22.05,61.83,6.79,103.57,Maize
12,63,21,18.12,61.93,5.64,146.33,Kidney Beans
100,34,25,24.95,58.88,7.02,175.63,Coffee
86,46,39,23.26,80.29,7.0,154.42,Jute
